# synthetic data experimental parameter values
# generated with solver tolerances 1e-10, 1e-12
# Beeler Reuter 1977
# 32 sets of parameter values
# Expt ln(G)s Normally distributed
# m_true: np.log(original_gs)
# sigma2_true: 0.01
4.705485225550820605e-02 3.292303023832344848e-03 7.588427325553094051e-03 8.084330768309218361e-04
4.361583258171333050e-02 2.780439750448319806e-03 9.525026642307308708e-03 8.340339202004059746e-04
4.129673180230297724e-02 3.413799626528700795e-03 9.259521147466653196e-03 7.324394624632369613e-04
3.873090010286012186e-02 3.368129457119901481e-03 8.960432410415544377e-03 8.062594883951905347e-04
3.931619943699055791e-02 3.205849554015930986e-03 8.033842377794765330e-03 9.540120331141046248e-04
3.583114676021623840e-02 3.924485812544494488e-03 8.754786800847302181e-03 9.463800165494036954e-04
4.377071773923527087e-02 3.268692907683575562e-03 7.902289432951088016e-03 8.196011503369941440e-04
3.894267317506214937e-02 3.690634945382680922e-03 7.465373524472736916e-03 8.649912667504975174e-04
3.734362387304518416e-02 3.216334651951016990e-03 7.480629368317147539e-03 8.988609075569959413e-04
3.577139026310287295e-02 3.583014690166229973e-03 9.444397980127817657e-03 9.693242501378015628e-04
3.923997112645786350e-02 3.202718793620878881e-03 7.424057289899056548e-03 1.065969745964907194e-03
4.020374818018201263e-02 3.284003981025670604e-03 8.154199659245979850e-03 1.110338582387309595e-03
4.048353504536494202e-02 3.722826827102335666e-03 8.243776678400397892e-03 8.688493748684670941e-04
3.568133183794126168e-02 3.379841098981191914e-03 7.834617994569702953e-03 9.543753879245353046e-04
4.350073330337433236e-02 3.841539418986854044e-03 8.231763544740380856e-03 9.832947078594936850e-04
3.709342239702601712e-02 3.967157264861125888e-03 8.421050001299357560e-03 8.735675680477455671e-04
4.200258940015941939e-02 3.473649593119669358e-03 8.958515033873144101e-03 1.047725020011339809e-03
4.977122445146507645e-02 3.043820089535879611e-03 6.924252895568184379e-03 8.557242419869416422e-04
4.064529808584023407e-02 3.820494485117985946e-03 8.256535234549314609e-03 7.352235787570495732e-04
3.879374618546015813e-02 3.802126185492783316e-03 8.186209868367872247e-03 9.712616353277320029e-04
3.912050053132950372e-02 3.430435296075147380e-03 8.150650017156261390e-03 9.376717377911772747e-04
4.080111567968700698e-02 3.541901865699676518e-03 7.481066133534247653e-03 9.346303859194916635e-04
4.049026525770210716e-02 3.918509528924971237e-03 9.018998795841056543e-03 9.168193071973881111e-04
3.852667887512983141e-02 3.283434334271939994e-03 8.346071733484599492e-03 9.069875923648036339e-04
3.864796364402604129e-02 3.515292210285713044e-03 7.519062459758809984e-03 9.650674224590282714e-04
3.825088118927689324e-02 3.955922167318004674e-03 8.329394011878951329e-03 9.550394185982583528e-04
3.585160262023746880e-02 3.559788780562983534e-03 8.614933809568722789e-03 8.181328266133568172e-04
3.894917548384306538e-02 3.511433726497888326e-03 6.973587579610559042e-03 9.288160425066875744e-04
4.353196600320268644e-02 3.211735272498218718e-03 8.285410023757738829e-03 7.893157431292673921e-04
3.984551704552713458e-02 2.977802859242425788e-03 8.949371555003800965e-03 9.375638077401674854e-04
3.990165327600977974e-02 3.238942237449873428e-03 9.086748420641641705e-03 1.095652043179197541e-03
3.321764689428610001e-02 3.960536007518565375e-03 9.414081657538660164e-03 9.309410283288465553e-04
