# synthetic data experimental parameter values
# Luo Rudy 1991
# 32 sets of parameter values
# standard deviation for Normally-generated parameters: 0.1
2.673599433642545620e+01 2.647484691350678321e-01 5.727614541406288451e-01 8.034328240059446236e-02 4.260326331458207105e-02 1.408818418470908149e-02
2.701306705769790639e+01 2.605339653947580936e-01 6.239922941385728228e-01 8.775566662070330426e-02 4.494292522115334726e-02 1.452994250161929353e-02
2.225844043076893186e+01 2.711696671983506168e-01 6.732590381780239053e-01 8.010097859417372734e-02 3.853390899819474080e-02 1.669351909520389032e-02
2.309709161744586581e+01 2.984353890267861242e-01 5.381455583539346277e-01 1.003025133885565301e-01 4.274513721544435235e-02 1.921956464019041952e-02
2.507196868330814610e+01 2.627188743712837726e-01 5.972688280628873914e-01 8.157807509166838111e-02 3.815961083978638979e-02 1.927055050413088028e-02
2.140918027103179000e+01 2.708115505426614278e-01 5.631466668237677942e-01 8.239314922651151674e-02 3.657804392098883139e-02 1.827682378397841104e-02
2.043018619813886261e+01 2.886105226784419497e-01 7.050682376498338400e-01 9.667839744519601819e-02 3.845781279919011086e-02 1.667563899572474875e-02
2.128153592437307395e+01 3.297272197489823919e-01 6.077723449313064963e-01 8.426703918087581624e-02 3.995857961538113595e-02 2.214346689975628044e-02
2.327636559070774425e+01 2.994051276937491624e-01 6.228512992477289734e-01 8.682975138155832329e-02 3.473018614555518913e-02 1.766070281798443400e-02
2.251954326323800970e+01 2.985427739913379397e-01 6.554333270369914199e-01 9.837991873173200508e-02 4.032978790232195215e-02 1.991980833061543499e-02
2.126488473570769955e+01 3.173308819775786938e-01 6.357168662406770254e-01 8.731716448407556008e-02 4.112547965257352944e-02 1.816170376517146912e-02
2.560274759113828225e+01 3.248588342231059634e-01 7.368617448330603281e-01 7.743153298060675982e-02 3.354762976891057652e-02 1.737682747080799422e-02
2.336808525973001238e+01 3.067079635754775269e-01 6.237864452596998399e-01 7.180018905758396575e-02 3.800937406648415701e-02 1.981519359597126023e-02
2.352921789133808161e+01 3.034887152847990932e-01 5.912558172163515646e-01 8.819317737963001946e-02 3.994150721406506538e-02 1.905039451439110784e-02
2.345608935629156733e+01 2.853560438117703213e-01 5.641450515481023498e-01 9.339807407688828500e-02 3.968766120355742694e-02 2.036695555147881309e-02
2.575751112377346530e+01 2.872214109730472087e-01 5.820065190680507872e-01 8.425142633291199390e-02 4.087052136228538912e-02 1.844153232507786400e-02
2.220913654618652799e+01 2.832294313627257143e-01 5.672085489664565605e-01 9.628228830664996296e-02 3.745680889747410314e-02 2.054084909979406529e-02
2.392803077611884177e+01 2.987389143552852122e-01 5.384906806880391805e-01 9.152444189752802217e-02 4.211372184474849317e-02 1.655472789869148059e-02
2.238769743619167230e+01 2.829197302167527073e-01 5.216675956446786833e-01 9.283643452838062637e-02 4.252779589918091740e-02 1.672708582827746662e-02
2.380625575092744839e+01 2.449936078031044184e-01 6.023600825546818749e-01 7.545804880767033318e-02 4.360707883399203566e-02 1.904828798442439325e-02
2.294338100148571158e+01 2.601404423394296783e-01 6.817240210967012715e-01 1.077039157432926192e-01 3.192485310950429062e-02 2.056218017572866014e-02
2.674359673224248368e+01 2.915319298434002060e-01 5.321802620846913801e-01 9.777010785789619352e-02 3.850061149555157602e-02 1.719482525113833968e-02
2.017086628796598902e+01 2.975251573865292376e-01 6.526410311821428945e-01 8.438822343288186756e-02 4.125117981766469183e-02 1.620585525698964996e-02
2.484428037330409467e+01 2.833131978155608577e-01 5.934181258927626601e-01 8.908428714723769237e-02 4.261690262162001058e-02 1.967325330095296212e-02
2.421777024601123074e+01 2.858831741219262090e-01 6.094058436048812588e-01 9.556542235798670681e-02 4.012161116653983201e-02 1.954906907456200812e-02
2.228673142090846326e+01 2.133375750521786796e-01 6.675177236744387343e-01 1.096828168227683281e-01 4.094058998323241161e-02 1.811671592309119574e-02
2.268617708903912344e+01 2.786426719047503386e-01 6.057527469199012193e-01 7.990183144127800674e-02 3.718247263049478946e-02 1.647544090540001976e-02
2.357223807119187597e+01 2.736347195031416657e-01 6.346454287609472056e-01 8.842767156231748360e-02 4.307742027144708524e-02 1.869076703944385839e-02
2.803860937663038655e+01 2.285226219744711518e-01 5.655809478612257024e-01 9.811338202483839421e-02 4.912356509638789170e-02 1.784499835678070995e-02
2.310043868431029779e+01 2.756179383611163103e-01 6.852132115981717231e-01 8.741422922871583401e-02 4.187655384216204535e-02 1.771476307401543063e-02
2.007311486293421510e+01 2.908420457170687312e-01 6.351275856684341914e-01 1.016390329427903638e-01 3.877693720941770283e-02 1.717022742340637911e-02
2.429435052222376257e+01 2.887887860011040253e-01 6.216718172136059817e-01 8.934198566627449267e-02 4.375968753294557506e-02 1.897617167096757318e-02
